Source,Target,
litterature,10127,
litterature,fr,
litterature,70975,
litterature,french,
litterature,gotofrance,
litterature,20662,
litterature,diyfrance,
litterature,26223,
diyfrance,goingfrance,
diyfrance,fr,
diyfrance,gotofrance,
diyfrance,edufr,
diyfrance,faguojiaoyu,
diyfrance,70975,
diyfrance,119274,
diyfrance,af,
20662,121489,
20662,francais,
20662,26223,
20662,70975,
20662,french,
20662,110689,
20662,10127,
20662,reflets,
gotofrance,fr,
gotofrance,diyfrance,
gotofrance,119274,
gotofrance,goingfrance,
gotofrance,70975,
gotofrance,10127,
gotofrance,224970,
gotofrance,faguojiaoyu,
70975,fr,
70975,french,
70975,litterature,
70975,20662,
70975,gotofrance,
70975,francais,
70975,diyfrance,
70975,10127,
fr,gotofrance,
fr,diyfrance,
fr,goingfrance,
fr,70975,
fr,litterature,
fr,10127,
fr,119274,
fr,faguojiaoyu,
10127,litterature,
10127,fr,
10127,70975,
10127,gotofrance,
10127,20662,
10127,26223,
10127,j'aime_la_franc,
10127,af,
guduwawa,195050,
guduwawa,StudyInAmerica,
guduwawa,27756,
guduwawa,insidestory,
guduwawa,ieltsgroup,
guduwawa,NorthAmerica,
guduwawa,skyfree,
guduwawa,liuxuezaiwai,
ps-camp,pslove,
ps-camp,14185,
ps-camp,pskungfu,
ps-camp,ExcelMaster,
ps-camp,PhotoShop,
ps-camp,241691,
ps-camp,378028,
goingfrance,diyfrance,
goingfrance,edufr,
goingfrance,fr,
goingfrance,faguojiaoyu,
goingfrance,gotofrance,
goingfrance,86938,
goingfrance,122874,
liuxuezaiwai,StudyInAmerica,
liuxuezaiwai,loso,
liuxuezaiwai,diyliuxue,
liuxuezaiwai,guduwawa,
liuxuezaiwai,27756,
liuxuezaiwai,NorthAmerica,
liuxuezaiwai,298628,
liuxuezaiwai,northeurope,
skyfree,travelguide,
skyfree,qiong,
skyfree,hg,
skyfree,trip,
skyfree,yly,
skyfree,girlsonroad,
skyfree,yha,
skyfree,gotohk,
NorthAmerica,theUS,
NorthAmerica,usa,
NorthAmerica,StudyInAmerica,
NorthAmerica,198645,
NorthAmerica,TOEFL,
NorthAmerica,guduwawa,
NorthAmerica,grefriend,
SMaf,shareyou,
SMaf,qicai,
SMaf,camera,
SMaf,SLR,
SMaf,guoer,
SMaf,lovefilm,
SMaf,sheying1,
northeurope,sweden,
northeurope,hollands,
northeurope,studyinfinland,
northeurope,NorthernEurope,
northeurope,uiah,
northeurope,deutschland,
northeurope,Finnish,
northeurope,diyliuxue,
298628,205822,
298628,36672,
298628,355054,
298628,198645,
298628,diyliuxue,
298628,301524,
298628,280514,
gotohk,skyfree,
gotohk,travelguide,
gotohk,qiong,
gotohk,hg,
gotohk,trip,
gotohk,lvxing,
gotohk,JD,
gotohk,girlsonroad,
yha,yly,
yha,youth26,
yha,onlylonely,
yha,travelguide,
yha,skyfree,
yha,hg,
yha,trip,
yha,datou,
girlsonroad,qiong,
girlsonroad,trip,
girlsonroad,travelguide,
girlsonroad,lvxing,
girlsonroad,travel,
girlsonroad,hg,
girlsonroad,skyfree,
girlsonroad,bedreader,
grefriend,newGRE,
grefriend,TOEFL,
grefriend,25336,
grefriend,20686,
grefriend,ibt-toefl,
grefriend,StudyInAmerica,
grefriend,IBTTOEFL,
grefriend,222931,
sheying1,qicai,
sheying1,guoer,
sheying1,leon-image,
sheying1,lvxing,
sheying1,shareyou,
sheying1,camera,
sheying1,rf,
sheying1,lovefilm,
lovefilm,rf,
lovefilm,guoer,
lovefilm,DarkRoom,
lovefilm,117226,
lovefilm,SLR,
lovefilm,pscam,
lovefilm,Minolta_X700,
lovefilm,camera,
guoer,lovefilm,
guoer,sheying1,
guoer,rf,
guoer,camera,
guoer,qicai,
guoer,117226,
guoer,DarkRoom,
guoer,cameralife,
SLR,rf,
SLR,lovefilm,
SLR,117226,
SLR,guoer,
SLR,NikonFM2,
SLR,Minolta_X700,
SLR,szfilm,
SLR,pscam,
camera,guoer,
camera,lovefilm,
camera,lvxing,
camera,qicai,
camera,31029,
camera,leica,
camera,cameralife,
camera,sheying1,
JD,wohuozhe,
JD,classicreading,
JD,337905,
JD,bedreader,
JD,travelguide,
JD,EmirKusturica,
JD,tao6,
JD,tbgw,
bedreader,classicreading,
bedreader,You_arelegend,
bedreader,readingmania,
bedreader,insidestory,
bedreader,qiong,
bedreader,spoil,
bedreader,dulishi,
datou,gapper,
datou,qiong,
datou,hg,
datou,travelguide,
datou,gotrip,
datou,yha,
datou,travel,
datou,girlsonroad,
11452,15285,
11452,justmyself,
11452,idealife,
11452,lifeway,
11452,weare80s,
11452,xyang,
11452,lonelyland,
11452,webwebweb,
222931,TOEFL,
222931,377737,
222931,funtoefl,
222931,ibt-toefl,
222931,xiaoma,
222931,TOEFLibt,
222931,xiaomaV5,
222931,482802,
rf,lovefilm,
rf,SLR,
rf,117226,
rf,pscam,
rf,guoer,
rf,szfilm,
rf,37198,
rf,DarkRoom,
cameralife,lovefilm,
cameralife,camera,
cameralife,guoer,
cameralife,pscam,
cameralife,rf,
cameralife,31029,
cameralife,leica,
cameralife,flickr,
leica,camera,
leica,magnumphotos,
leica,flickr,
leica,photographybook,
leica,cameralife,
leica,movie,
leica,webwebweb,
leica,w-w,
31029,qicai,
31029,camera,
31029,guoer,
31029,cameralife,
31029,d50,
31029,eos,
31029,lovefilm,
31029,leica,
tbgw,337905,
tbgw,tb,
tbgw,NO1tuan,
tbgw,paihangbang,
tbgw,tao6,
tbgw,blackeye,
tbgw,wanggou,
tbgw,nothingness.,
dulishi,classicreading,
dulishi,eusuee,
dulishi,bedreader,
dulishi,guoxue,
dulishi,readingmania,
dulishi,You_arelegend,
dulishi,insidestory,
gotrip,378970,
gotrip,515813,
gotrip,gapper,
gotrip,datou,
gotrip,330279,
gotrip,yigong,
gotrip,junehostel,
gotrip,582645,
webwebweb,lifeway,
webwebweb,idealife,
webwebweb,soku,
webwebweb,w-w,
webwebweb,movie,
webwebweb,qinmen,
