id,name,nums,
litterature,"法语。法国",147162,
diyfrance,"法语",15342,
20662,"我爱法语",10259,
gotofrance,"我要去法国",17124,
70975,"法语TEF,TCF考呆组La transmission du savoir",18332,
fr,"战斗在法国",32206,
10127,"C'est la vie!",35405,
guduwawa,"是谁他妈的发明出国这么孤独的事儿",167768,
ps-camp,"PS高手集中营 Photoshop官方群",63580,
goingfrance,"留学在法国",10100,
liuxuezaiwai,"豆瓣留学",38974,
skyfree,"出国自助游教室(微信：zizhuyou123)",386489,
NorthAmerica,"北美豆瓣",33259,
SMaf,"数码暗房.后期软件交流.",24187,
northeurope,"留学北欧",25369,
298628,"澳，加，美，英留学互助群",11310,
gotohk,"我要去香港",275757,
yha,"你住过的国际青年旅舍",178771,
girlsonroad,"喜欢一个人旅行的女生",790150,
grefriend,"豆瓣GRE小组",28842,
sheying1,"摄影人",158030,
lovefilm,"胶片控",62314,
guoer,"一二手相机市场",90789,
SLR,"胶片单反同学会",28502,
camera,"摄影",214292,
JD,"代购之家&海淘",485908,
bedreader,"提前上床我们一起读书(WoiDuShu）",616279,
datou,"青旅打工换宿（微信：DaGongHuanSu）",229228,
11452,"简单生活",25783,
222931,"iBT新托福考试",14260,
rf,"胶片旁轴同学会",36240,
cameralife,"相机生活",34307,
leica,"中文摄影『Leica is on iPhone』",28304,
31029,"数码单反DSLR俱乐部",47868,
tbgw,"我爱代购&海淘☺微信号:lovehtdg",234219,
dulishi,"今晚我们读历史",186140,
gotrip,"去义工旅行（微信：Yigongtrip）",74823,
webwebweb,"网站推荐～",229159,
flickr,"flickr",29303,
w-w,"哇。。。",80530,
nothingness.,"淘宝❤关爱剁手成长协会",214412,
guoxue,"国学",78843,
Gia-club,"我们爱讲冷笑话",656994,
recommend,"推荐一首歌（请耐心看下组则）",54715,
google,"Google",28270,
KUSOMOVIE,"宇宙囧片王",113846,
sfforget,"我说，您随意。",31088,
philosophy,"哲学人",106726,
benothing,"发呆&白日梦&自言自语 俱乐部",160689,
14771,"路过心上的句子",146296,
174966,"Sounds For A Better Life",50564,
verycd,"VeryCD",79669,
femalephoto,"摄影女",11153,
si,"中国思想史",10582,
67371,"我们是眼神放空小组",100315,
xiaochao,"小抄",99174,
twindiemusic,"台湾独立音乐",75137,
twitter,"Twitter",40608,
